id,type,input,city,days,budget,interests,group,special,prediction_type,model_confidence,top_features,total_budget,model_accuracy,processing_time_s
S0321,standard,我想去巴黎玩2天，和家人一起，我们喜欢美食，预算比较宽裕，需要轮椅无障碍设施。,纽约,5,高,"自然,文化",朋友,无,户外探险游,0.58,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,38000,0.8445,0.015
S0537,standard,我想去罗马玩2天，和朋友一起，我们喜欢自然、购物，预算中等，需要轮椅无障碍设施。,巴黎,3,高,历史,家庭,轮椅友好,文化深度游,0.47,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,21000,0.8445,0.0155
S0012,standard,我想去东京玩1天，和家人一起，我们喜欢历史、自然，预算比较有限，有小孩子。,伦敦,3,高,购物,家庭,有老人,美食购物游,0.49,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,21000,0.8445,0.0155
B0038,boundary,我想去东京玩7天，和家人一起，我们喜欢文化，预算比较有限，有老人。,纽约,7,低,自然,单人,轮椅友好,户外探险游,0.7,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7700,0.8445,0.0151
E0017,edge,我想去纽约玩1天，我们喜欢文化、美食、购物、历史，预算比较宽裕。,纽约,1,高,"文化,美食,购物,历史",单人,无,奢华体验,0.55,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7600,0.8445,0.0153
S0324,standard,我想去东京玩5天，和爱人一起，我们喜欢购物，预算中等，有老人。,罗马,5,高,文化,朋友,有儿童,奢华体验,0.44,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,30000,0.8445,0.0146
S0691,standard,我想去纽约玩2天，我们喜欢文化、美食，预算中等，有小孩子。,罗马,5,低,"文化,历史",情侣,有儿童,文化深度游,0.53,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,4500,0.8445,0.0148
S0024,standard,我想去巴黎玩5天，我们喜欢自然、文化，预算比较有限，有小孩子。,罗马,2,低,"历史,自然",家庭,无,亲子家庭游,0.6,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,1800,0.8445,0.0146
E0096,edge,我想去纽约玩1天，我们喜欢文化、美食、购物、历史，预算比较宽裕。,纽约,1,高,"文化,美食,购物,历史",单人,无,奢华体验,0.55,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7600,0.8445,0.015
S0139,standard,我想去纽约玩5天，我们喜欢文化、美食，预算比较宽裕。,伦敦,7,低,"自然,历史",家庭,有老人,文化深度游,0.38,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7280,0.8445,0.015
E0091,edge,我想去伦敦玩3天，和朋友一起，我们喜欢文化，不太确定。,伦敦,3,不太确定,文化,朋友,无,文化深度游,0.49,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5400,0.8445,0.0152
S0657,standard,我想去东京玩3天，我们喜欢购物，预算中等，有小孩子。,伦敦,7,低,自然,朋友,无,户外探险游,0.64,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7280,0.8445,0.0152
S0598,standard,我想去伦敦玩5天，和朋友一起，我们喜欢自然、文化，预算比较宽裕，有小孩子。,东京,2,高,"文化,购物",朋友,轮椅友好,奢华体验,0.55,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,11200,0.8445,0.015
B0171,boundary,我想去东京玩7天，我们喜欢美食，预算比较有限，有老人。,巴黎,7,低,文化,情侣,有儿童,文化深度游,0.45,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7000,0.8445,0.0155
E0037,edge,我想去东京玩5天，和爱人一起，我们喜欢奢华体验、米其林餐厅，预算比较有限。,东京,5,低,"奢华体验,米其林餐厅",情侣,无,文化深度游,0.23,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,4000,0.8445,0.0158
S0086,standard,我想去纽约玩2天，和爱人一起，我们喜欢自然、美食，预算比较宽裕，需要轮椅无障碍设施。,纽约,3,中,文化,家庭,轮椅友好,文化深度游,0.54,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7800,0.8445,0.0163
S0098,standard,我想去罗马玩1天，和爱人一起，我们喜欢购物，预算比较有限，需要轮椅无障碍设施。,纽约,1,低,"历史,自然",单人,有儿童,文化深度游,0.42,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,1100,0.8445,0.0157
S0027,standard,我想去伦敦玩1天，和家人一起，我们喜欢美食、购物，预算比较有限，需要轮椅无障碍设施。,东京,2,中,"自然,美食",家庭,无,亲子家庭游,0.62,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,3600,0.8445,0.0159
B0062,boundary,我想去巴黎玩7天，和朋友一起，我们喜欢历史，预算比较宽裕。,巴黎,7,高,历史,情侣,有老人,情侣浪漫游,0.51,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,49000,0.8445,0.0147
S0229,standard,我想去纽约玩5天，和家人一起，我们喜欢文化、历史，预算比较有限，有小孩子。,纽约,5,低,历史,情侣,轮椅友好,文化深度游,0.5,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5500,0.8445,0.0138
S0327,standard,我想去纽约玩5天，和朋友一起，我们喜欢文化、购物，预算中等。,伦敦,3,中,"历史,美食",情侣,有老人,文化深度游,0.44,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7200,0.8445,0.0144
S0444,standard,我想去东京玩7天，和爱人一起，我们喜欢自然、美食，预算中等，需要轮椅无障碍设施。,纽约,2,中,历史,情侣,有老人,文化深度游,0.64,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5200,0.8445,0.0167
S0223,standard,我想去伦敦玩5天，和家人一起，我们喜欢购物，预算比较宽裕，有老人。,罗马,2,中,美食,朋友,有儿童,美食购物游,0.55,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,4000,0.8445,0.0174
E0065,edge,我想去罗马玩4天，和家人一起，我们喜欢历史，预算中等。,罗马,4,中,历史,家庭,有儿童和老人,文化深度游,0.55,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,8000,0.8445,0.019
S0244,standard,我想去东京玩1天，和家人一起，我们喜欢美食、自然，预算比较宽裕，有小孩子。,东京,5,低,历史,情侣,有儿童,文化深度游,0.49,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,4000,0.8445,0.0173
S0381,standard,我想去东京玩5天，和爱人一起，我们喜欢购物、文化，预算比较宽裕，有小孩子。,罗马,1,高,"自然,历史",朋友,有老人,奢华体验,0.37,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,6000,0.8445,0.0162
S0233,standard,我想去伦敦玩2天，和爱人一起，我们喜欢购物，预算比较宽裕，有小孩子。,巴黎,2,高,文化,朋友,无,奢华体验,0.52,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,14000,0.8445,0.0166
S0083,standard,我想去纽约玩2天，和朋友一起，我们喜欢美食、文化，预算比较宽裕，有小孩子。,伦敦,3,中,美食,单人,无,美食购物游,0.5,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7200,0.8445,0.0163
S0484,standard,我想去巴黎玩3天，我们喜欢自然、文化，预算中等，需要轮椅无障碍设施。,巴黎,3,高,历史,朋友,轮椅友好,奢华体验,0.46,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,21000,0.8445,0.0157
E0039,edge,我想去罗马玩4天，和家人一起，我们喜欢历史，预算中等。,罗马,4,中,历史,家庭,有儿童和老人,文化深度游,0.55,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,8000,0.8445,0.0164
B0049,boundary,我想去纽约玩7天，和家人一起，我们喜欢文化，预算比较宽裕，需要轮椅无障碍设施。,东京,7,高,文化,情侣,轮椅友好,情侣浪漫游,0.5,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,39200,0.8445,0.0152
S0018,standard,我想去罗马玩7天，和朋友一起，我们喜欢购物，预算比较有限，有老人。,纽约,5,低,"美食,历史",家庭,轮椅友好,亲子家庭游,0.38,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5500,0.8445,0.0141
B0042,boundary,我想去罗马玩1天，和朋友一起，我们喜欢自然，预算比较有限，有小孩子。,东京,1,低,自然,家庭,轮椅友好,亲子家庭游,0.33,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,800,0.8445,0.0155
S0558,standard,我想去东京玩2天，我们喜欢购物，预算中等，有小孩子。,伦敦,3,高,"购物,美食",家庭,轮椅友好,美食购物游,0.54,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,21000,0.8445,0.0152
S0264,standard,我想去巴黎玩2天，我们喜欢文化、美食，预算中等，有小孩子。,罗马,3,高,"购物,历史",家庭,轮椅友好,亲子家庭游,0.44,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,18000,0.8445,0.0144
S0334,standard,我想去巴黎玩7天，和朋友一起，我们喜欢购物，预算比较宽裕，有小孩子。,纽约,7,中,美食,单人,有老人,美食购物游,0.49,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,18200,0.8445,0.0144
S0439,standard,我想去巴黎玩3天，我们喜欢自然，预算比较宽裕，有小孩子。,纽约,7,中,"美食,购物",家庭,轮椅友好,美食购物游,0.62,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,18200,0.8445,0.0149
S0608,standard,我想去东京玩7天，和朋友一起，我们喜欢文化、美食，预算比较有限。,纽约,5,低,历史,朋友,有儿童,文化深度游,0.48,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5500,0.8445,0.0143
S0404,standard,我想去伦敦玩1天，和朋友一起，我们喜欢文化，预算比较宽裕。,伦敦,5,高,"历史,文化",朋友,有老人,奢华体验,0.47,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,35000,0.8445,0.0145
S0043,standard,我想去罗马玩2天，和爱人一起，我们喜欢文化，预算比较宽裕，有小孩子。,巴黎,2,中,"历史,文化",情侣,无,文化深度游,0.66,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,4800,0.8445,0.0138
S0052,standard,我想去纽约玩5天，和朋友一起，我们喜欢自然、美食，预算比较有限，有小孩子。,罗马,2,高,"美食,文化",情侣,无,情侣浪漫游,0.48,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,12000,0.8445,0.0141
S0167,standard,我想去罗马玩2天，和家人一起，我们喜欢历史、文化，预算比较宽裕，有老人。,罗马,5,高,"文化,自然",情侣,有老人,情侣浪漫游,0.49,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,30000,0.8445,0.0145
E0080,edge,我想去巴黎玩3天，我们喜欢什么都想看看，预算中等。,巴黎,3,中,什么都想看看,单人,无,文化深度游,0.31,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7200,0.8445,0.0139
S0194,standard,我想去巴黎玩3天，我们喜欢购物、历史，预算比较有限，需要轮椅无障碍设施。,东京,7,高,文化,朋友,无,奢华体验,0.46,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,39200,0.8445,0.0147
B0194,boundary,我想去伦敦玩7天，和家人一起，我们喜欢历史，预算中等，有老人。,东京,7,中,美食,单人,无,美食购物游,0.46,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,12600,0.8445,0.0142
S0475,standard,我想去东京玩2天，和朋友一起，我们喜欢历史、文化，预算比较宽裕。,巴黎,7,中,购物,家庭,有儿童,美食购物游,0.55,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,16800,0.8445,0.0144
S0670,standard,我想去东京玩5天，和朋友一起，我们喜欢购物，预算中等。,巴黎,5,低,自然,单人,轮椅友好,户外探险游,0.7,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5000,0.8445,0.0144
S0304,standard,我想去伦敦玩7天，我们喜欢文化、自然，预算中等，有老人。,罗马,2,低,"美食,文化",朋友,无,经济观光,0.4,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,1800,0.8445,0.0142
S0350,standard,我想去伦敦玩7天，和爱人一起，我们喜欢文化、购物，预算比较宽裕，需要轮椅无障碍设施。,伦敦,2,低,"历史,文化",单人,轮椅友好,文化深度游,0.59,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,2080,0.8445,0.0141
S0040,standard,我想去纽约玩2天，我们喜欢美食，预算比较有限，有小孩子。,巴黎,2,高,"购物,文化",情侣,有老人,情侣浪漫游,0.5,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,14000,0.8445,0.0141
S0263,standard,我想去巴黎玩2天，和家人一起，我们喜欢自然，预算中等。,纽约,7,高,"文化,自然",情侣,无,情侣浪漫游,0.49,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,53200,0.8445,0.0143
B0159,boundary,我想去东京玩7天，和爱人一起，我们喜欢美食，预算中等，有老人。,伦敦,7,中,购物,单人,轮椅友好,美食购物游,0.44,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,16800,0.8445,0.0141
S0690,standard,我想去伦敦玩3天，和爱人一起，我们喜欢文化、购物，预算中等。,罗马,3,高,历史,朋友,有老人,奢华体验,0.46,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,18000,0.8445,0.0148
S0613,standard,我想去伦敦玩5天，我们喜欢历史、文化，预算比较有限。,纽约,5,高,自然,家庭,无,亲子家庭游,0.64,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,38000,0.8445,0.0142
S0061,standard,我想去伦敦玩2天，和爱人一起，我们喜欢美食、历史，预算比较宽裕。,东京,3,中,美食,家庭,轮椅友好,美食购物游,0.56,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5400,0.8445,0.014
B0030,boundary,我想去伦敦玩7天，和爱人一起，我们喜欢文化，预算比较有限，有小孩子。,东京,7,低,文化,朋友,有儿童,文化深度游,0.41,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5600,0.8445,0.0146
E0030,edge,我想去伦敦玩3天，和朋友一起，我们喜欢文化，不太确定。,伦敦,3,不太确定,文化,朋友,无,文化深度游,0.49,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5400,0.8445,0.0146
S0095,standard,我想去东京玩7天，我们喜欢自然，预算比较有限。,东京,5,高,自然,情侣,有儿童,情侣浪漫游,0.51,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,28000,0.8445,0.0146
E0083,edge,我想去纽约玩1天，我们喜欢文化、美食、购物、历史，预算比较宽裕。,纽约,1,高,"文化,美食,购物,历史",单人,无,奢华体验,0.55,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7600,0.8445,0.0141
S0602,standard,我想去纽约玩2天，和家人一起，我们喜欢自然，预算中等。,伦敦,5,高,"历史,自然",家庭,有儿童,文化深度游,0.41,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,35000,0.8445,0.014
S0493,standard,我想去伦敦玩3天，和家人一起，我们喜欢文化，预算比较宽裕，有老人。,伦敦,2,高,"购物,历史",情侣,轮椅友好,情侣浪漫游,0.51,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,14000,0.8445,0.0138
S0697,standard,我想去巴黎玩1天，和家人一起，我们喜欢美食、文化，预算比较有限，需要轮椅无障碍设施。,罗马,2,中,自然,情侣,有老人,文化深度游,0.37,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,4000,0.8445,0.0142
S0150,standard,我想去伦敦玩5天，我们喜欢美食、文化，预算中等，有小孩子。,巴黎,1,中,"美食,历史",家庭,有儿童,亲子家庭游,0.42,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,2400,0.8445,0.0144
S0022,standard,我想去纽约玩7天，和爱人一起，我们喜欢历史、美食，预算比较有限。,东京,7,中,"历史,美食",单人,轮椅友好,文化深度游,0.38,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,12600,0.8445,0.0143
S0093,standard,我想去罗马玩2天，和家人一起，我们喜欢历史、自然，预算中等，需要轮椅无障碍设施。,罗马,1,低,自然,情侣,轮椅友好,经济观光,0.33,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,900,0.8445,0.0139
S0235,standard,我想去伦敦玩7天，和家人一起，我们喜欢购物、自然，预算比较宽裕，需要轮椅无障碍设施。,巴黎,1,中,"购物,历史",家庭,轮椅友好,亲子家庭游,0.44,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,2400,0.8445,0.0139
S0506,standard,我想去罗马玩1天，我们喜欢美食、历史，预算比较有限，有小孩子。,罗马,1,中,"自然,美食",家庭,有儿童,美食购物游,0.5,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,2000,0.8445,0.0143
E0033,edge,我想去纽约玩1天，我们喜欢文化、美食、购物、历史，预算比较宽裕。,纽约,1,高,"文化,美食,购物,历史",单人,无,奢华体验,0.55,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7600,0.8445,0.0143
E0051,edge,我想去伦敦玩3天，和朋友一起，我们喜欢文化，不太确定。,伦敦,3,不太确定,文化,朋友,无,文化深度游,0.49,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5400,0.8445,0.0143
S0237,standard,我想去东京玩5天，我们喜欢文化、购物，预算比较有限，有小孩子。,东京,5,高,美食,朋友,轮椅友好,奢华体验,0.45,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,28000,0.8445,0.0143
S0534,standard,我想去罗马玩1天，我们喜欢美食、历史，预算比较宽裕。,纽约,3,高,自然,家庭,有儿童,户外探险游,0.42,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,22800,0.8445,0.0143
B0025,boundary,我想去伦敦玩7天，和朋友一起，我们喜欢购物，预算比较宽裕，有老人。,巴黎,7,高,自然,情侣,轮椅友好,情侣浪漫游,0.51,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,49000,0.8445,0.0142
S0333,standard,我想去罗马玩2天，和爱人一起，我们喜欢文化、美食，预算中等，有老人。,巴黎,5,低,"美食,购物",朋友,有老人,美食购物游,0.52,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5000,0.8445,0.0142
B0164,boundary,我想去纽约玩1天，和家人一起，我们喜欢历史，预算比较有限，有小孩子。,纽约,1,低,美食,单人,有老人,美食购物游,0.53,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,1100,0.8445,0.0141
B0170,boundary,我想去东京玩7天，和朋友一起，我们喜欢历史，预算比较宽裕，有小孩子。,纽约,7,高,购物,单人,无,奢华体验,0.46,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,53200,0.8445,0.0147
S0041,standard,我想去纽约玩1天，我们喜欢购物、自然，预算比较宽裕，有小孩子。,罗马,5,低,"自然,购物",朋友,无,户外探险游,0.62,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,4500,0.8445,0.015
S0386,standard,我想去东京玩1天，和家人一起，我们喜欢美食，预算中等，有老人。,伦敦,1,高,"文化,购物",情侣,无,情侣浪漫游,0.52,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7000,0.8445,0.015
S0692,standard,我想去纽约玩2天，和家人一起，我们喜欢购物，预算比较有限，有老人。,巴黎,3,高,"文化,购物",单人,有老人,奢华体验,0.52,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,21000,0.8445,0.0151
S0532,standard,我想去罗马玩7天，和家人一起，我们喜欢美食、文化，预算中等。,罗马,7,高,"自然,文化",家庭,有老人,户外探险游,0.36,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,42000,0.8445,0.0159
S0255,standard,我想去纽约玩7天，我们喜欢美食、购物，预算比较宽裕，需要轮椅无障碍设施。,伦敦,7,高,文化,单人,有儿童,奢华体验,0.5,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,49000,0.8445,0.0152
S0425,standard,我想去伦敦玩1天，和家人一起，我们喜欢自然、文化，预算比较有限，有小孩子。,纽约,5,低,"自然,历史",单人,无,户外探险游,0.63,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5500,0.8445,0.0142
B0083,boundary,我想去罗马玩7天，和家人一起，我们喜欢自然，预算中等。,伦敦,7,中,历史,情侣,有儿童,文化深度游,0.54,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,16800,0.8445,0.0144
S0010,standard,我想去罗马玩7天，和家人一起，我们喜欢自然、购物，预算比较宽裕，有小孩子。,巴黎,1,低,"文化,购物",家庭,无,亲子家庭游,0.65,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,1000,0.8445,0.0148
S0486,standard,我想去纽约玩7天，我们喜欢自然、美食，预算中等，有小孩子。,纽约,5,高,美食,单人,轮椅友好,奢华体验,0.44,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,38000,0.8445,0.0143
E0097,edge,我想去罗马玩4天，和家人一起，我们喜欢历史，预算中等。,罗马,4,中,历史,家庭,有儿童和老人,文化深度游,0.55,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,8000,0.8445,0.0143
B0051,boundary,我想去纽约玩7天，和朋友一起，我们喜欢自然，预算中等。,伦敦,7,中,自然,朋友,有儿童,户外探险游,0.69,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,16800,0.8445,0.0148
S0282,standard,我想去罗马玩3天，和家人一起，我们喜欢文化，预算中等，有老人。,伦敦,3,低,"购物,历史",情侣,有儿童,经济观光,0.35,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,3120,0.8445,0.0141
S0451,standard,我想去纽约玩2天，和家人一起，我们喜欢购物、历史，预算中等，需要轮椅无障碍设施。,纽约,2,高,美食,朋友,无,奢华体验,0.43,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,15200,0.8445,0.0142
S0699,standard,我想去东京玩7天，和朋友一起，我们喜欢自然、购物，预算中等。,东京,1,低,"历史,美食",朋友,轮椅友好,经济观光,0.36,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,800,0.8445,0.0141
B0035,boundary,我想去罗马玩7天，和爱人一起，我们喜欢自然，预算比较宽裕，有小孩子。,伦敦,7,高,文化,单人,轮椅友好,奢华体验,0.5,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,49000,0.8445,0.0142
S0581,standard,我想去巴黎玩1天，和爱人一起，我们喜欢购物、历史，预算中等，有小孩子。,纽约,5,中,"历史,自然",单人,轮椅友好,户外探险游,0.67,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,13000,0.8445,0.0142
B0033,boundary,我想去罗马玩7天，和朋友一起，我们喜欢购物，预算比较有限，有小孩子。,东京,7,低,自然,家庭,无,亲子家庭游,0.61,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5600,0.8445,0.0141
S0011,standard,我想去罗马玩2天，和朋友一起，我们喜欢自然，预算比较有限。,巴黎,7,低,历史,情侣,有儿童,文化深度游,0.47,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7000,0.8445,0.0141
B0117,boundary,我想去巴黎玩1天，和朋友一起，我们喜欢购物，预算比较有限，有老人。,罗马,1,低,美食,单人,轮椅友好,美食购物游,0.54,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,900,0.8445,0.0143
S0490,standard,我想去伦敦玩7天，和爱人一起，我们喜欢自然，预算中等，有老人。,罗马,1,高,购物,情侣,无,情侣浪漫游,0.53,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,6000,0.8445,0.014
S0298,standard,我想去罗马玩1天，和朋友一起，我们喜欢历史、购物，预算比较有限。,罗马,1,低,"购物,自然",家庭,有儿童,美食购物游,0.48,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,900,0.8445,0.0142
S0161,standard,我想去伦敦玩2天，和家人一起，我们喜欢历史，预算比较有限，有小孩子。,东京,3,中,购物,单人,有儿童,美食购物游,0.42,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5400,0.8445,0.0142
B0039,boundary,我想去巴黎玩7天，和爱人一起，我们喜欢美食，预算中等，有小孩子。,东京,7,中,购物,家庭,轮椅友好,美食购物游,0.54,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,12600,0.8445,0.0139
S0665,standard,我想去伦敦玩7天，和爱人一起，我们喜欢历史、自然，预算比较宽裕，需要轮椅无障碍设施。,巴黎,2,中,文化,家庭,无,亲子家庭游,0.58,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,4800,0.8445,0.0162
B0082,boundary,我想去东京玩7天，我们喜欢购物，预算中等，有老人。,纽约,7,中,文化,家庭,无,亲子家庭游,0.6,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,18200,0.8445,0.0147
S0165,standard,我想去东京玩1天，和朋友一起，我们喜欢文化，预算中等，需要轮椅无障碍设施。,纽约,5,低,购物,朋友,有儿童,美食购物游,0.45,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,5500,0.8445,0.0147
B0006,boundary,我想去纽约玩7天，和朋友一起，我们喜欢购物，预算比较有限。,罗马,7,低,购物,单人,无,美食购物游,0.42,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,6300,0.8445,0.014
S0512,standard,我想去伦敦玩1天，我们喜欢美食、历史，预算中等，有老人。,东京,7,高,"历史,自然",家庭,有老人,文化深度游,0.39,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,39200,0.8445,0.0146
S0314,standard,我想去罗马玩1天，和朋友一起，我们喜欢美食，预算比较有限。,东京,2,低,文化,单人,有儿童,文化深度游,0.52,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,1600,0.8445,0.0141
S0672,standard,我想去伦敦玩7天，我们喜欢美食，预算中等。,东京,5,中,自然,情侣,轮椅友好,户外探险游,0.68,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,9000,0.8445,0.0139
S0535,standard,我想去纽约玩5天，和家人一起，我们喜欢自然，预算比较有限，需要轮椅无障碍设施。,巴黎,7,高,购物,情侣,轮椅友好,情侣浪漫游,0.51,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,49000,0.8445,0.014
E0006,edge,我想去罗马玩4天，和家人一起，我们喜欢历史，预算中等。,罗马,4,中,历史,家庭,有儿童和老人,文化深度游,0.55,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,8000,0.8445,0.014
S0100,standard,我想去巴黎玩7天，和朋友一起，我们喜欢购物、文化，预算中等，有小孩子。,巴黎,7,高,历史,家庭,无,亲子家庭游,0.65,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,49000,0.8445,0.0147
E0019,edge,我想去巴黎玩3天，我们喜欢什么都想看看，预算中等。,巴黎,3,中,什么都想看看,单人,无,文化深度游,0.31,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7200,0.8445,0.0141
E0008,edge,我想去巴黎玩3天，我们喜欢什么都想看看，预算中等。,巴黎,3,中,什么都想看看,单人,无,文化深度游,0.31,出行类型=0.2189; 自然兴趣=0.1376; 旅行天数=0.1339,7200,0.8445,0.0135
